Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value
2008,894,Tesoro,Oil & Gas Operations,United States,21920.0,570,8130.0,5110.0
2009,1146,Tesoro,Oil & Gas Operations,United States,28310.0,280,7430.0,2040.0
2010,1455,Tesoro,Oil & Gas Operations,United States,16870.0,-140,8070.0,1660.0
2011,1465,Tesoro,Oil & Gas Operations,United States,20583.0,-29.0,8732.0,3509.0
2012,1042,Tesoro,Oil & Gas Operations,United States,30303.0,546.0,9892.0,4172.0
2013,766,Tesoro,Oil & Gas Operations,United States,32974.0,743.0,10702.0,7764.0
2014,925,Tesoro,Oil & Gas Operations,United States,38420.0,412.0,13389.0,6781.0
2015,642,Tesoro,Oil & Gas Operations,United States,40607.0,843.0,16584.0,10896.0
2016,562,Tesoro,Oil & Gas Operations,United States,28644.0,1540.0,16332.0,10335.0
2017,694,Tesoro,Oil & Gas Operations,United States,24577.0,734.0,20398.0,9410.0
