Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value
2012,924,Hyundai Engineering,Construction,South Korea,10770.0,574.0,10245.0,8258.0
2013,1026,Hyundai Engineering,Construction,South Korea,11835.0,452.9,11983.0,6448.0
2014,1082,Hyundai Engineering,Construction,South Korea,12732.0,460.0,13960.0,5933.0
2015,1160,Hyundai Engineering,Construction,South Korea,16517.0,398.7,16776.0,5635.0
2016,1201,Hyundai Engineering,Construction,South Korea,16895.0,325.1,16595.0,3846.0
2017,1142,Hyundai Engineering,Construction,South Korea,16156.0,423.0,16463.0,4853.0
2018,1450,Hyundai Engineering,Construction,South Korea,14658.0,248.1,17217.0,6712.0
2019,1500,Hyundai Engineering,Construction,South Korea,15203.0,347.0,16181.0,5019.0
2020,1418,Hyundai Engineering,Construction,South Korea,14759.0,421.0,15761.0,3206.0
2021,1665,Hyundai Engineering,Construction,South Korea,14383.0,103.7,16514.0,4707.0
2022,1779,Hyundai Engineering,Construction,South Korea,15470.0,390.4,16519.0,4005.0
