Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value
2008,1278,Grupo Elektra,Retailing,Mexico,3580.0,600,7550.0,5730.0
2009,1165,Grupo Elektra,Retailing,Mexico,3060.0,670,7380.0,4900.0
2010,1009,Grupo Elektra,Retailing,Mexico,3280.0,380,9120.0,12890.0
2011,1548,Grupo Elektra,Retailing,Mexico,3724.0,17.5,9755.0,10190.0
2012,802,Grupo Elektra,Retailing,Mexico,3728.0,2147.0,12658.0,21655.0
2013,1465,Grupo Elektra,Retailing,Mexico,5315.0,-1519.0,12805.0,9477.0
2014,1647,Grupo Elektra,Retailing,Mexico,5558.0,64.8,13368.0,7333.0
2015,1419,Grupo Elektra,Retailing,Mexico,5551.0,550.8,13290.0,6478.0
2019,1230,Grupo Elektra,Retailing,Mexico,5382.0,766.0,14085.0,12673.0
2020,1022,Grupo Elektra,Retailing,Mexico,6190.0,838.9,18434.0,11325.0
2021,1645,Grupo Elektra,Retailing,Mexico,5754.0,-89.0,18614.0,15728.0
2022,1385,Grupo Elektra,Retailing,Mexico,7201.0,638.0,20713.0,14114.0
