Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value
2008,666,Samba Financial Group,Banking,Saudi Arabia,2680.0,1390,33070.0,24280.0
2009,630,Samba Financial Group,Banking,Saudi Arabia,2880.0,1290,41170.0,9860.0
2010,585,Samba Financial Group,Banking,Saudi Arabia,2240.0,1220,49460.0,13860.0
2011,686,Samba Financial Group,Banking,Saudi Arabia,2055.0,1182.7,49974.0,13079.0
2012,718,Samba Financial Group,Banking,Saudi Arabia,1921.0,1148.4,51404.0,12359.0
2013,747,Samba Financial Group,Banking,Saudi Arabia,1963.0,1154.4,53060.0,10775.0
2014,721,Samba Financial Group,Banking,Saudi Arabia,1992.0,1202.7,54670.0,13695.0
2015,754,Samba Financial Group,Banking,Saudi Arabia,2088.0,1334.4,57935.0,13377.0
2016,739,Samba Financial Group,Banking,Saudi Arabia,2250.0,1384.9,62721.0,11402.0
2017,777,Samba Financial Group,Banking,Saudi Arabia,2418.0,1333.8,61701.0,11252.0
2018,807,Samba Financial Group,Banking,Saudi Arabia,2265.0,1358.7,61043.0,14815.0
2019,712,Samba Financial Group,Banking,Saudi Arabia,2544.0,1472.0,61296.0,20746.0
2020,780,Samba Financial Group,Banking,Saudi Arabia,2840.0,1100.5,68137.0,12399.0
