Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value
2008,920,Japan Airlines,Transportation,Japan,19590.0,-140,17730.0,6800.0
2009,783,Japan Airlines,Transportation,Japan,22350.0,170,21270.0,5190.0
2013,649,Japan Airlines,Airline,Japan,14554.0,2254.3,13168.0,8656.0
2014,738,Japan Airlines,Airline,Japan,13180.0,1583.0,12418.0,9033.0
2015,772,Japan Airlines,Airline,Japan,12677.0,1534.6,11986.0,11309.0
2016,697,Japan Airlines,Airline,Japan,11116.0,1429.4,12850.0,13326.0
2017,760,Japan Airlines,Airline,Japan,11860.0,1279.8,13935.0,10600.0
2018,789,Japan Airlines,Airline,Japan,12481.0,1221.7,17435.0,12865.0
2019,776,Japan Airlines,Transportation,Japan,13294.0,1158.0,17629.0,11844.0
2020,951,Japan Airlines,Transportation,Japan,13641.0,1105.6,17867.0,6059.0
