Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value
2008,1689,Musashino Bank,Banking,Japan,600.0,100,28300.0,1420.0
2009,1676,Musashino Bank,Banking,Japan,760.0,110,34180.0,1020.0
2010,1718,Musashino Bank,Banking,Japan,770.0,-50,34610.0,980.0
2011,1719,Musashino Bank,Banking,Japan,787.0,38.0,37999.0,1163.0
2012,1709,Musashino Bank,Banking,Japan,959.0,89.5,44379.0,1179.0
2013,1732,Musashino Bank,Banking,Japan,941.0,116.2,46145.0,1267.0
2014,1799,Musashino Bank,Banking,Japan,683.0,110.8,38807.0,1131.0
2015,1845,Musashino Bank,Banking,Japan,670.0,102.8,35253.0,1164.0
2016,1845,Musashino Bank,Banking,Japan,592.0,118.2,36124.0,918.0
2017,1825,Musashino Bank,Banking,Japan,609.0,106.2,37995.0,952.0
2018,1840,Musashino Bank,Banking,Japan,532.0,94.5,39938.0,1130.0
2019,1860,Musashino Bank,Banking,Japan,545.0,7.0,40997.0,654.0
2020,1929,Musashino Bank,Banking,Japan,578.0,125.2,43045.0,426.0
2021,1947,Musashino Bank,Banking,Japan,552.0,60.6,50238.0,533.0
2022,1972,Musashino Bank,Banking,Japan,535.0,82.2,47632.0,465.0
