Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value
2008,897,Cemig,Utilities,Brazil,4530.0,810,10810.0,9000.0
2009,709,Cemig,Utilities,Brazil,5750.0,970,13590.0,6070.0
2010,782,Cemig,Utilities,Brazil,4750.0,820,10440.0,9250.0
2011,671,Cemig,Utilities,Brazil,6715.0,1067.9,16231.0,10909.0
2012,593,Cemig,Utilities,Brazil,7749.0,1360.2,19130.0,14970.0
2013,597,Cemig,Utilities,Brazil,9487.0,2195.0,19354.0,10686.0
2014,914,Cemig,Utilities,Brazil,6774.0,1437.4,12637.0,8734.0
2015,1054,Cemig,Utilities,Brazil,8301.0,1332.6,13167.0,5902.0
2016,1434,Cemig,Utilities,Brazil,6374.0,745.8,10333.0,2649.0
2019,1836,Cemig,Utilities,Brazil,6090.0,465.0,15443.0,6057.0
2020,1680,Cemig,Utilities,Brazil,6436.0,774.3,12411.0,2564.0
