Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value
2008,567,Kellogg,"Food, Drink & Tobacco",United States,11780.0,1100,11400.0,19730.0
2009,483,Kellogg,"Food, Drink & Tobacco",United States,12820.0,1150,10950.0,14870.0
2010,446,Kellogg,"Food, Drink & Tobacco",United States,12580.0,1210,11200.0,19790.0
2011,517,Kellogg,"Food, Drink & Tobacco",United States,12397.0,1247.0,11847.0,20095.0
2012,567,Kellogg,"Food, Drink & Tobacco",United States,13198.0,1231.0,11901.0,18794.0
2013,551,Kellogg,"Food, Drink & Tobacco",United States,14197.0,961.0,15184.0,22510.0
2014,508,Kellogg,"Food, Drink & Tobacco",United States,14797.0,1807.0,15474.0,22493.0
2015,682,Kellogg,"Food, Drink & Tobacco",United States,14585.0,632.0,15153.0,23519.0
2016,633,Kellogg,"Food, Drink & Tobacco",United States,13529.0,614.0,15265.0,26516.0
2017,675,Kellogg,"Food, Drink & Tobacco",United States,13014.0,694.0,15111.0,25410.0
2018,672,Kellogg,"Food, Drink & Tobacco",United States,13070.0,1451.0,16702.0,21293.0
2019,652,Kellogg,"Food, Drink & Tobacco",United States,13547.0,1336.0,17780.0,20090.0
2020,635,Kellogg,"Food, Drink & Tobacco",United States,13468.0,1025.0,18240.0,22434.0
2021,643,Kellogg,"Food, Drink & Tobacco",United States,13770.0,1251.0,17996.0,21561.0
2022,754,Kellogg,"Food, Drink & Tobacco",United States,14182.0,1488.0,18178.0,23533.0
