Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value
2008,871,UPM Kymmene,Materials,Finland,14650.0,120,19950.0,8940.0
2009,931,UPM Kymmene,Materials,Finland,13180.0,-250,18800.0,3700.0
2010,819,UPM Kymmene,Materials,Finland,11060.0,240,19110.0,5630.0
2011,620,UPM Kymmene,Materials,Finland,11946.0,751.0,18048.0,10082.0
2012,765,UPM Kymmene,Materials,Finland,13041.0,592.0,19318.0,7236.0
2013,1194,UPM Kymmene,Materials,Finland,13770.0,-1654.3,16094.0,6143.0
2014,829,UPM Kymmene,Materials,Finland,13348.0,444.8,20117.0,9289.0
2015,792,UPM Kymmene,Materials,Finland,13089.0,679.1,17177.0,10715.0
2016,770,UPM Kymmene,Materials,Finland,11242.0,1015.8,15418.0,9121.0
2017,762,UPM Kymmene,Materials,Finland,10854.0,972.3,14673.0,12744.0
2018,741,UPM Kymmene,Materials,Finland,11733.0,1217.7,15912.0,19760.0
2019,709,UPM Kymmene,Materials,Finland,12366.0,1765.0,16000.0,15243.0
2020,774,UPM Kymmene,Materials,Finland,10923.0,1051.0,16405.0,14756.0
2021,837,UPM Kymmene,Materials,Finland,9781.0,638.4,18180.0,20579.0
2022,803,UPM Kymmene,Materials,Finland,11600.0,1520.0,20439.0,18740.0
