Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value
2008,38,Daimler,Consumer Durables,Germany,145110.0,5820,199770.0,85160.0
2009,83,Daimler,Consumer Durables,Germany,133430.0,1880,180080.0,21210.0
2010,388,Daimler,Consumer Durables,Germany,110060.0,-3690,184490.0,45070.0
2011,43,Daimler,Consumer Durables,Germany,130872.0,6021.4,178717.0,70504.0
2012,37,Daimler,Consumer Durables,Germany,138006.0,7340.7,188699.0,66334.0
2013,36,Daimler,Consumer Durables,Germany,150787.0,8040.9,211872.0,64091.0
2014,31,Daimler,Consumer Durables,Germany,156635.0,9083.6,232209.0,102930.0
2015,26,Daimler,Consumer Durables,Germany,172268.0,9234.7,229468.0,103272.0
2016,24,Daimler,Consumer Durables,Germany,165747.0,9341.5,235907.0,75406.0
2017,28,Daimler,Consumer Durables,Germany,169537.0,9431.4,256292.0,76099.0
2018,29,Daimler,Consumer Durables,Germany,193217.0,11793.6,323196.0,85678.0
2019,37,Daimler,Consumer Durables,Germany,197445.0,8552.0,321933.0,71342.0
2020,326,Daimler,Consumer Durables,Germany,189171.0,417.7,326611.0,36953.0
2021,41,Daimler,Consumer Durables,Germany,175908.0,4134.7,349614.0,99184.0
