Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value
2008,1373,Analog Devices,Semiconductors,United States,2510.0,710,3130.0,7910.0
2009,1358,Analog Devices,Semiconductors,United States,2450.0,440,2920.0,5430.0
2010,1376,Analog Devices,Semiconductors,United States,2140.0,340,3700.0,8880.0
2011,1245,Analog Devices,Semiconductors,United States,2887.0,813.7,4597.0,11430.0
2012,1274,Analog Devices,Semiconductors,United States,2913.0,784.7,5278.0,11824.0
2013,1269,Analog Devices,Semiconductors,United States,2675.0,643.1,5717.0,13931.0
2014,1242,Analog Devices,Semiconductors,United States,2640.0,694.8,6399.0,16902.0
2015,1279,Analog Devices,Semiconductors,United States,3009.0,655.5,6821.0,19564.0
2016,1234,Analog Devices,Semiconductors,United States,3433.0,682.6,7598.0,18130.0
2017,1067,Analog Devices,Semiconductors,United States,3636.0,914.3,10203.0,29211.0
2018,851,Analog Devices,Semiconductors,United States,5642.0,774.8,20853.0,34244.0
2019,683,Analog Devices,Semiconductors,United States,6223.0,1577.0,21828.0,42279.0
2020,720,Analog Devices,Semiconductors,United States,5754.0,1209.7,21377.0,40357.0
2021,664,Analog Devices,Semiconductors,United States,5858.0,1405.4,21440.0,58842.0
2022,549,Analog Devices,Semiconductors,United States,8444.0,1282.0,51216.0,81245.0
