Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value
2008,1737,Indian Overseas Bank,Banking,India,1430.0,230,19030.0,2250.0
2009,1462,Indian Overseas Bank,Banking,India,2250.0,300,25390.0,490.0
2010,1423,Indian Overseas Bank,Banking,India,2200.0,260,23860.0,1040.0
2011,1806,Indian Overseas Bank,Banking,India,2552.0,157.7,29201.0,1733.0
2012,1744,Indian Overseas Bank,Banking,India,3003.0,240.8,40091.0,1212.0
2013,1749,Indian Overseas Bank,Banking,India,3855.0,206.5,43115.0,1048.0
2014,1748,Indian Overseas Bank,Banking,India,4142.0,104.2,41944.0,1040.0
2015,1711,Indian Overseas Bank,Banking,India,4236.0,99.7,45484.0,843.0
2016,1704,Indian Overseas Bank,Banking,India,4144.0,-300.0,43398.0,866.0
2017,1828,Indian Overseas Bank,Banking,India,3510.0,-551.6,37834.0,1040.0
2018,1871,Indian Overseas Bank,Banking,India,3303.0,-512.8,37582.0,1265.0
2019,1957,Indian Overseas Bank,Banking,India,3240.0,-783.0,33883.0,1362.0
