Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value
2008,975,Nippon Express,Transportation,Japan,15880.0,280,11580.0,5630.0
2009,804,Nippon Express,Transportation,Japan,19050.0,370,13030.0,3080.0
2010,1064,Nippon Express,Transportation,Japan,18780.0,160,11870.0,4390.0
2011,1313,Nippon Express,Transportation,Japan,16795.0,134.5,12862.0,4346.0
2012,1333,Nippon Express,Transportation,Japan,19455.0,102.8,13846.0,4091.0
2013,1058,Nippon Express,Transportation,Japan,19667.0,325.5,14958.0,5206.0
2014,1403,Nippon Express,Transportation,Japan,17289.0,266.9,12755.0,5032.0
2015,1371,Nippon Express,Transportation,Japan,17853.0,306.1,12212.0,5835.0
2016,1495,Nippon Express,Transportation,Japan,16041.0,243.0,12688.0,4816.0
2017,1310,Nippon Express,Transportation,Japan,17069.0,340.8,13195.0,4778.0
2018,1416,Nippon Express,Transportation,Japan,18003.0,59.0,14274.0,7277.0
2019,1506,Nippon Express,Transportation,Japan,19243.0,118.0,14325.0,5127.0
2020,1611,Nippon Express,Transportation,Japan,19134.0,160.1,14062.0,4597.0
2021,1574,Nippon Express,Transportation,Japan,18848.0,283.2,15712.0,6969.0
