Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value
2008,681,Adidas,Consumer Durables,Germany,13300.0,640,10620.0,12960.0
2009,562,Adidas,Consumer Durables,Germany,15040.0,890,12770.0,5660.0
2010,626,Adidas,Consumer Durables,Germany,14870.0,350,12140.0,10830.0
2011,578,Adidas,Consumer Durables,Germany,16051.0,759.0,13563.0,13352.0
2012,558,Adidas,Consumer Durables,Germany,17285.0,869.2,14133.0,16286.0
2013,570,Adidas,Consumer Durables,Germany,19635.0,693.9,14665.0,21801.0
2014,522,Adidas,Consumer Durables,Germany,19240.0,1044.8,15983.0,22759.0
2015,684,Adidas,Consumer Durables,Germany,19533.0,650.0,15025.0,17097.0
2016,577,Adidas,Consumer Durables,Germany,18757.0,738.5,14494.0,25198.0
2017,468,Adidas,Consumer Durables,Germany,21340.0,1126.1,16007.0,39605.0
2018,457,Adidas,Consumer Durables,Germany,24914.0,1671.1,18208.0,46154.0
2019,430,Adidas,Consumer Durables,Germany,25854.0,2008.0,17847.0,51987.0
2020,397,Adidas,Consumer Durables,Germany,25009.0,1528.7,22803.0,44904.0
2021,529,Adidas,Consumer Durables,Germany,22622.0,493.6,25759.0,64939.0
2022,438,Adidas,Consumer Durables,Germany,25098.0,2501.1,25174.0,41083.0
