Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value
2008,1275,Shanxi Taigang Stainless,Materials,China,5120.0,310,5230.0,10940.0
2009,841,Shanxi Taigang Stainless,Materials,China,11100.0,580,7880.0,4070.0
2010,998,Shanxi Taigang Stainless,Materials,China,12190.0,180,9540.0,6560.0
2011,1480,Shanxi Taigang Stainless,Diversified Metals & Mining,China,10520.0,132.7,9005.0,4895.0
2012,1603,Shanxi Taigang Stainless,Diversified Metals & Mining,China,13229.0,208.2,9675.0,3532.0
2013,1443,Shanxi Taigang Stainless,Diversified Metals & Mining,China,15287.0,287.0,10509.0,3135.0
2014,1497,Shanxi Taigang Stainless,Diversified Metals & Mining,China,17616.0,140.4,11974.0,2184.0
2015,1524,Shanxi Taigang Stainless,Diversified Metals & Mining,China,14716.0,119.8,13002.0,5534.0
2016,1681,Shanxi Taigang Stainless,Diversified Metals & Mining,China,11279.0,-140.9,12045.0,3053.0
2017,1973,Shanxi Taigang Stainless,Diversified Metals & Mining,China,8524.0,-321.8,10995.0,4087.0
2018,1332,Shanxi Taigang Stainless,Diversified Metals & Mining,China,10358.0,869.2,11557.0,5395.0
2019,1324,Shanxi Taigang Stainless,Materials,China,11041.0,998.0,10293.0,4333.0
2022,1383,Shanxi Taigang Stainless,Materials,China,15668.0,978.3,10609.0,5874.0
