Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value
2008,36,Volkswagen Group,Consumer Durables,Germany,149000.0,5640,210880.0,90230.0
2009,15,Volkswagen Group,Consumer Durables,Germany,158400.0,6520,244050.0,75180.0
2011,24,Volkswagen Group,Consumer Durables,Germany,168314.0,9067.4,267498.0,70348.0
2012,17,Volkswagen Group,Consumer Durables,Germany,221862.0,21455.6,328699.0,79536.0
2013,14,Volkswagen Group,Consumer Durables,Germany,254022.0,28631.5,408232.0,94382.0
2014,19,Volkswagen Group,Consumer Durables,Germany,261549.0,12036.2,446915.0,119049.0
2015,14,Volkswagen Group,Consumer Durables,Germany,268549.0,14388.0,424980.0,126017.0
2016,22,Volkswagen Group,Consumer Durables,Germany,246232.0,7060.0,414588.0,73073.0
2017,28,Volkswagen Group,Consumer Durables,Germany,240340.0,5690.3,458742.0,72941.0
2018,16,Volkswagen Group,Consumer Durables,Germany,271951.0,13123.5,531393.0,101428.0
2019,18,Volkswagen Group,Consumer Durables,Germany,278243.0,13955.0,553506.0,91951.0
2020,23,Volkswagen Group,Consumer Durables,Germany,275168.0,12044.4,538915.0,70402.0
2021,17,Volkswagen Group,Consumer Durables,Germany,254081.0,9500.5,646384.0,147159.0
2022,25,Volkswagen Group,Consumer Durables,Germany,295733.0,17544.1,638263.0,82398.0
