Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value
2008,506,VTB Bank,Banking,Russia,4440.0,1170,52310.0,25890.0
2009,505,VTB Bank,Banking,Russia,7150.0,1530,92510.0,3500.0
2010,437,VTB Bank,Banking,Russia,11280.0,220,125850.0,26430.0
2011,557,VTB Bank,Banking,Russia,14106.0,-2091.6,118079.0,34390.0
2012,255,VTB Bank,Banking,Russia,12593.0,1903.1,139319.0,26378.0
2013,233,VTB Bank,Banking,Russia,16115.0,2776.0,210033.0,18904.0
2014,263,VTB Bank,Banking,Russia,22792.0,2396.6,262022.0,14555.0
2015,615,VTB Bank,Banking,Russia,28406.0,108.6,203180.0,14628.0
2016,626,VTB Bank,Banking,Russia,22408.0,21.2,186786.0,13974.0
2017,397,VTB Bank,Banking,Russia,19517.0,698.6,206172.0,14861.0
2018,396,VTB Bank,Banking,Russia,24101.0,1977.0,225969.0,10970.0
2019,471,VTB Bank,Banking,Russia,23649.0,2762.0,212773.0,7295.6
2020,452,VTB Bank,Banking,Russia,22992.0,2908.6,249811.0,6115.0
2021,597,VTB Bank,Banking,Russia,17129.0,901.1,245283.0,8119.0
2022,513,VTB Bank,Banking,Russia,21300.0,4222.6,278101.0,3151.0
