Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value
2013,690,Metro Group,Food Markets,Germany,87988.0,4.0,45835.0,9308.0
2014,642,Metro Group,Food Markets,Germany,81007.0,-124.2,45180.0,13368.0
2015,727,Metro Group,Retailing,Germany,83069.0,106.1,38275.0,11705.0
2016,743,Metro Group,Retailing,Germany,66164.0,22.2,32868.0,10845.0
2017,805,Metro Group,Retailing,Germany,64506.0,222.3,30806.0,10115.0
2018,1041,Metro Group,Food Markets,Germany,41911.0,488.4,19063.0,5074.0
2019,1252,Metro Group,Food Markets,Germany,32303.0,370.0,17897.0,6079.0
2020,1273,Metro Group,Food Markets,Germany,29787.0,-405.2,20385.0,3153.0
2021,992,Metro Group,Food Markets,Germany,27838.0,676.0,16542.0,3900.0
2022,1588,Metro Group,Food Markets,Germany,30768.0,47.3,14477.0,3267.0
