Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value
2008,860,Starbucks,"Hotels, Restaurants & Leisure",United States,9820.0,680,5510.0,13040.0
2009,1203,Starbucks,"Hotels, Restaurants & Leisure",United States,10230.0,170,5530.0,6720.0
2010,720,Starbucks,"Hotels, Restaurants & Leisure",United States,9880.0,570,6100.0,17310.0
2011,666,Starbucks,"Hotels, Restaurants & Leisure",United States,10936.0,1050.7,6931.0,27274.0
2012,631,Starbucks,"Hotels, Restaurants & Leisure",United States,12186.0,1281.3,7836.0,40088.0
2013,605,Starbucks,"Hotels, Restaurants & Leisure",United States,13663.0,1434.2,8490.0,43205.0
2014,919,Starbucks,"Hotels, Restaurants & Leisure",United States,15332.0,8.3,10255.0,55944.0
2015,460,Starbucks,"Hotels, Restaurants & Leisure",United States,17006.0,2510.5,12351.0,70871.0
2016,389,Starbucks,"Hotels, Restaurants & Leisure",United States,20156.0,2541.9,12944.0,85257.0
2017,370,Starbucks,"Hotels, Restaurants & Leisure",United States,21672.0,2882.0,14017.0,84558.0
2018,370,Starbucks,"Hotels, Restaurants & Leisure",United States,23466.0,4390.4,17554.0,79033.0
2019,351,Starbucks,"Hotels, Restaurants & Leisure",United States,25277.0,3029.0,19981.0,94588.0
2020,288,Starbucks,"Hotels, Restaurants & Leisure",United States,26656.0,3389.8,27479.0,89628.0
2021,393,Starbucks,"Hotels, Restaurants & Leisure",United States,23168.0,664.8,29968.0,139322.0
2022,303,Starbucks,"Hotels, Restaurants & Leisure",United States,30358.0,4393.1,28834.0,89631.0
