Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value
2008,1216,Clorox,Consumer Durables,United States,5010.0,500,4850.0,8080.0
2009,1043,Clorox,Consumer Durables,United States,5450.0,470,4400.0,6760.0
2010,988,Clorox,Consumer Durables,United States,5500.0,590,4490.0,8630.0
2011,1158,Clorox,Consumer Durables,United States,5161.0,573.0,4158.0,9369.0
2012,1293,Clorox,Consumer Durables,United States,5312.0,555.0,4290.0,8854.0
2013,1196,Clorox,Consumer Durables,United States,5605.0,562.0,4502.0,10964.0
2014,1244,Clorox,Consumer Durables,United States,5654.0,567.0,4388.0,11421.0
2015,1271,Clorox,Consumer Durables,United States,5594.0,522.0,4674.0,14609.0
2016,1066,Clorox,Consumer Durables,United States,5693.0,686.0,4175.0,15851.0
2017,1102,Clorox,Consumer Durables,United States,5875.0,655.0,4568.0,17088.0
2018,1171,Clorox,Consumer Durables,United States,6080.0,807.0,5444.0,15611.0
2019,1137,Clorox,Consumer Durables,United States,6244.0,790.0,5073.0,19671.0
2020,1045,Clorox,Consumer Durables,United States,6133.0,816.0,5459.0,23324.0
2021,893,Clorox,Consumer Durables,United States,7524.0,1225.0,6855.0,23992.0
2022,1790,Clorox,Consumer Durables,United States,7080.0,247.0,6190.0,18539.0
