Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value
2008,362,CBS,Media,United States,14070.0,1250,40430.0,15530.0
2009,932,CBS,Media,United States,13950.0,-11670,26890.0,2900.0
2010,637,CBS,Media,United States,13010.0,230,26960.0,9090.0
2011,474,CBS,Media,United States,14060.0,724.2,26143.0,16003.0
2012,415,CBS,Media,United States,14245.0,1305.0,26197.0,20505.0
2013,380,CBS,Media,United States,14089.0,1574.0,26466.0,29420.0
2014,368,CBS,Media,United States,15284.0,1873.0,26387.0,37496.0
2015,392,CBS,Media,United States,14092.0,2959.0,24072.0,30372.0
2016,425,CBS,Media,United States,13886.0,1413.0,23765.0,25707.0
2017,459,CBS,Media,United States,13166.0,1261.0,24238.0,29499.0
2018,626,CBS,Media,United States,14110.0,1214.0,20591.0,19905.0
2019,560,CBS,Media,United States,14514.0,1960.0,21859.0,19628.0
