Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value
2008,744,Grupo Carso,Conglomerates,Mexico,6870.0,1600,9320.0,10270.0
2009,1075,Grupo Carso,Conglomerates,Mexico,5430.0,470,6590.0,4510.0
2010,953,Grupo Carso,Conglomerates,Mexico,5060.0,490,7480.0,8170.0
2011,1256,Grupo Carso,Conglomerates,Mexico,5195.0,571.6,6609.0,7475.0
2012,1433,Grupo Carso,Conglomerates,Mexico,5971.0,385.2,5204.0,7264.0
2013,1117,Grupo Carso,Conglomerates,Mexico,6404.0,576.1,5908.0,11287.0
2014,995,Grupo Carso,Conglomerates,Mexico,6727.0,1091.2,6561.0,12071.0
2015,1446,Grupo Carso,Conglomerates,Mexico,6202.0,427.2,6222.0,10095.0
2016,1430,Grupo Carso,Conglomerates,Mexico,5556.0,390.2,5440.0,10515.0
2017,1402,Grupo Carso,Conglomerates,Mexico,5092.0,509.5,5318.0,10510.0
2019,1964,Grupo Carso,Conglomerates,Mexico,5004.0,491.0,7002.0,8860.0
