Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value
2008,1862,Bank Negara Indonesia,Banking,Indonesia,1980.0,210,18800.0,2800.0
2009,1960,Bank Negara Indonesia,Banking,Indonesia,2010.0,100,19440.0,880.0
2010,1412,Bank Negara Indonesia,Banking,Indonesia,2470.0,260,24070.0,3070.0
2011,1296,Bank Negara Indonesia,Banking,Indonesia,2472.0,263.3,24070.0,7971.0
2012,969,Bank Negara Indonesia,Banking,Indonesia,3074.0,640.8,32905.0,7762.0
2013,922,Bank Negara Indonesia,Banking,Indonesia,3240.0,732.8,34551.0,8984.0
2014,965,Bank Negara Indonesia,Banking,Indonesia,3378.0,866.6,31771.0,8490.0
2015,927,Bank Negara Indonesia,Banking,Indonesia,3559.0,908.9,33635.0,10350.0
2016,1063,Bank Negara Indonesia,Banking,Indonesia,3625.0,679.5,38393.0,6917.0
2017,924,Bank Negara Indonesia,Banking,Indonesia,4357.0,852.5,44760.0,9064.0
2018,903,Bank Negara Indonesia,Banking,Indonesia,4902.0,1044.4,50837.0,11062.0
2019,835,Bank Negara Indonesia,Banking,Indonesia,4899.0,1055.0,56229.0,13081.0
2020,1053,Bank Negara Indonesia,Banking,Indonesia,5378.0,1087.9,60912.0,5140.0
2021,1742,Bank Negara Indonesia,Banking,Indonesia,5045.0,225.6,63440.0,7610.0
2022,1153,Bank Negara Indonesia,Banking,Indonesia,4817.0,762.4,67696.0,12129.0
