Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value
2008,553,Hana Financial Group,Banking,South Korea,5970.0,1110,125370.0,9480.0
2009,514,Hana Financial Group,Banking,South Korea,10400.0,1380,134830.0,2560.0
2010,556,Hana Financial Group,Banking,South Korea,8730.0,390,125270.0,6120.0
2011,679,Hana Financial Group,Banking,South Korea,9872.0,262.8,128966.0,9986.0
2012,487,Hana Financial Group,Diversified Financials,South Korea,9004.0,1104.5,153799.0,9237.0
2013,431,Hana Financial Group,Banking,South Korea,12499.0,1494.3,263941.0,8465.0
2014,457,Hana Financial Group,Banking,South Korea,12966.0,848.2,279707.0,10574.0
2015,580,Hana Financial Group,Banking,South Korea,13843.0,872.7,287084.0,7460.0
2016,597,Hana Financial Group,Banking,South Korea,11725.0,779.9,278805.0,6732.0
2017,492,Hana Financial Group,Banking,South Korea,11082.0,1127.8,288274.0,9654.0
2018,436,Hana Financial Group,Banking,South Korea,12322.0,1982.0,336359.0,12972.0
2019,478,Hana Financial Group,Banking,South Korea,13115.0,2003.0,345052.0,10034.0
2020,420,Hana Financial Group,Banking,South Korea,28324.0,2098.2,364483.0,6604.0
2021,446,Hana Financial Group,Banking,South Korea,12550.0,2188.9,423744.0,10708.0
2022,483,Hana Financial Group,Banking,South Korea,13746.0,3009.2,422667.0,11470.0
