Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value
2009,1229,Discovery Communications,Media,United States,3440.0,320,10480.0,4360.0
2010,936,Discovery Communications,Media,United States,3520.0,560,10970.0,8760.0
2011,992,Discovery Communications,Media,United States,3773.0,653.0,11019.0,11524.0
2012,928,Discovery Communications,Media,United States,4235.0,1132.0,11913.0,12391.0
2013,869,Discovery Communications,Media,United States,4453.0,943.0,12930.0,18963.0
2014,793,Discovery Communications,Media,United States,5535.0,1071.0,14979.0,19621.0
2015,822,Discovery Communications,Media,United States,6268.0,1138.0,16014.0,14368.0
2016,831,Discovery Communications,Media,United States,6378.0,1034.0,15864.0,11834.0
2017,781,Discovery Communications,Media,United States,6514.0,1194.0,15758.0,16837.0
2018,1019,Discovery Communications,Media,United States,7589.0,-181.0,34658.0,16817.0
