Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value
2008,1552,First Horizon National,Banking,United States,3170.0,-170,37020.0,2050.0
2009,1665,First Horizon National,Banking,United States,3100.0,-190,31020.0,1880.0
2010,1826,First Horizon National,Banking,United States,2230.0,-270,26070.0,2820.0
2011,1892,First Horizon National,Banking,United States,1836.0,50.2,24699.0,3012.0
2012,1966,First Horizon National,Banking,United States,1618.0,131.2,24789.0,2746.0
2013,1983,First Horizon National,Banking,United States,1470.0,-27.8,25520.0,2721.0
2017,1976,First Horizon National,Banking,United States,1367.0,227.0,28653.0,4295.0
2018,1836,First Horizon National,Banking,United States,1657.0,202.1,40463.0,6230.0
2019,1453,First Horizon National,Banking,United States,2268.0,545.0,40959.0,4670.0
2020,1807,First Horizon National,Banking,United States,1735.0,353.9,43493.0,2832.0
