Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value
2008,633,Safran,Aerospace & Defense,France,17520.0,590,20850.0,8310.0
2009,854,Safran,Aerospace & Defense,France,15070.0,60,23420.0,4180.0
2010,418,Safran,Aerospace & Defense,France,14720.0,890,26040.0,9320.0
2011,682,Safran,Aerospace & Defense,France,14763.0,277.1,24573.0,13958.0
2012,544,Safran,Aerospace & Defense,France,15101.0,619.2,26548.0,14770.0
2013,368,Safran,Aerospace & Defense,France,17962.0,1718.0,29983.0,19620.0
2014,351,Safran,Aerospace & Defense,France,19509.0,1409.9,33034.0,29024.0
2015,691,Safran,Aerospace & Defense,France,19955.0,-167.1,31622.0,30237.0
2016,683,Safran,Aerospace & Defense,France,20071.0,-937.0,30967.0,28452.0
2017,319,Safran,Aerospace & Defense,France,18232.0,2110.6,32758.0,32196.0
2018,284,Safran,Aerospace & Defense,France,19107.0,4473.4,38722.0,48602.0
2019,311,Safran,Aerospace & Defense,France,24804.0,1514.0,46435.0,56724.0
2020,257,Safran,Aerospace & Defense,France,28091.0,2738.8,48052.0,36714.0
2021,497,Safran,Aerospace & Defense,France,18959.0,401.3,48368.0,66778.0
2022,697,Safran,Aerospace & Defense,France,17887.0,50.8,47439.0,52261.0
