Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value
2008,813,Comerica,Banking,United States,4620.0,690,62330.0,5450.0
2009,1218,Comerica,Banking,United States,3940.0,210,67550.0,2270.0
2010,1283,Comerica,Banking,United States,3160.0,20,59260.0,5400.0
2011,1148,Comerica,Banking,United States,2642.0,277.0,53667.0,6919.0
2012,1084,Comerica,Banking,United States,2601.0,393.0,61008.0,6561.0
2013,987,Comerica,Banking,United States,2682.0,521.0,65359.0,6901.0
2014,950,Comerica,Banking,United States,2557.0,533.0,65471.0,9404.0
2015,1011,Comerica,Banking,United States,2560.0,586.0,69468.0,8111.0
2016,1049,Comerica,Banking,United States,2842.0,456.0,69007.0,7704.0
2017,968,Comerica,Banking,United States,2914.0,473.0,73221.0,12014.0
2018,836,Comerica,Banking,United States,3321.0,817.0,72335.0,16832.0
2019,810,Comerica,Banking,United States,3684.0,1285.0,70690.0,12129.0
2020,1154,Comerica,Banking,United States,3635.0,789.0,76337.0,4847.0
2021,1187,Comerica,Banking,United States,3070.0,472.0,88129.0,9787.0
2022,1035,Comerica,Banking,United States,2952.0,1002.0,89165.0,10614.0
