Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value
2008,71,Mizuho Financial,Banking,Japan,32520.0,5280,1272170.0,48800.0
2009,65,Mizuho Financial,Banking,Japan,42290.0,3120,1545230.0,21460.0
2010,422,Mizuho Financial,Banking,Japan,34680.0,-6050,1538940.0,30370.0
2011,115,Mizuho Financial,Banking,Japan,29729.0,2561.6,1666530.0,42729.0
2012,98,Mizuho Financial,Banking,Japan,32187.0,4971.1,1934402.0,40581.0
2013,78,Mizuho Financial,Banking,Japan,32805.0,5853.0,2004988.0,53678.0
2014,101,Mizuho Financial,Banking,Japan,28515.0,7497.0,1791617.0,48663.0
2015,119,Mizuho Financial,Banking,Japan,27033.0,6126.6,1634734.0,43648.0
2016,106,Mizuho Financial,Banking,Japan,25953.0,5023.8,1625482.0,40691.0
2017,90,Mizuho Financial,Banking,Japan,28974.0,6038.2,1752330.0,44429.0
2018,114,Mizuho Financial,Banking,Japan,29729.0,5124.2,1850368.0,46195.0
2019,125,Mizuho Financial,Banking,Japan,33069.0,4625.0,1837801.0,39799.0
2020,242,Mizuho Financial,Banking,Japan,35859.0,831.1,1874921.0,29845.0
2021,129,Mizuho Financial,Banking,Japan,30318.0,3737.1,2110528.0,36276.0
2022,186,Mizuho Financial,Banking,Japan,26761.0,5417.8,1957579.0,31381.0
