Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value
2008,962,Showa Shell Sekiyu,Oil & Gas Operations,Japan,27560.0,390,11750.0,3860.0
2009,939,Showa Shell Sekiyu,Oil & Gas Operations,Japan,36070.0,-180,13060.0,3150.0
2010,1272,Showa Shell Sekiyu,Oil & Gas Operations,Japan,21760.0,-620,11870.0,2640.0
2011,1229,Showa Shell Sekiyu,Oil & Gas Operations,Japan,28904.0,196.6,14204.0,3489.0
2012,1096,Showa Shell Sekiyu,Oil & Gas Operations,Japan,36001.0,300.2,15408.0,2449.0
2013,1296,Showa Shell Sekiyu,Oil & Gas Operations,Japan,30315.0,11.7,14012.0,2606.0
2014,990,Showa Shell Sekiyu,Oil & Gas Operations,Japan,30257.0,617.6,12329.0,3276.0
2015,1518,Showa Shell Sekiyu,Oil & Gas Operations,Japan,28323.0,-91.7,9811.0,3403.0
2016,1715,Showa Shell Sekiyu,Oil & Gas Operations,Japan,17987.0,-226.9,7961.0,3950.0
2017,1743,Showa Shell Sekiyu,Oil & Gas Operations,Japan,15885.0,155.7,8369.0,3779.0
2018,1414,Showa Shell Sekiyu,Oil & Gas Operations,Japan,19350.0,469.9,9539.0,5572.0
