Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value
2012,148,State Bank of India,Banking,India,33176.0,2398.8,369176.0,28191.0
2013,136,State Bank of India,Banking,India,35054.0,3016.4,359097.0,28082.0
2014,155,State Bank of India,Banking,India,37057.0,3291.9,376823.0,23605.0
2015,152,State Bank of India,Banking,India,40796.0,2347.5,400638.0,32987.0
2016,149,State Bank of India,Banking,India,41771.0,2439.9,427100.0,23323.0
2017,244,State Bank of India,Banking,India,43700.0,666.6,493344.0,36549.0
2018,489,State Bank of India,Banking,India,46178.0,1.2,535022.0,33275.0
2019,460,State Bank of India,Banking,India,47523.0,-948.0,536689.0,40012.0
2020,171,State Bank of India,Banking,India,51090.0,2002.5,559909.0,22628.0
2021,110,State Bank of India,Banking,India,50560.0,3128.6,638128.0,40801.0
2022,105,State Bank of India,Banking,India,54421.0,4321.4,696509.0,58388.0
