Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value
2008,197,ABB,Conglomerates,Switzerland,30670.0,2720,30140.0,58070.0
2009,157,ABB,Conglomerates,Switzerland,34910.0,3120,31990.0,28000.0
2010,143,ABB,Conglomerates,Switzerland,31800.0,2900,33680.0,46460.0
2011,180,ABB,Conglomerates,Switzerland,35012.0,2838.5,34167.0,52920.0
2012,186,ABB,Conglomerates,Switzerland,35600.0,2967.8,39452.0,47756.0
2013,158,ABB,Conglomerates,Switzerland,40057.0,2754.0,48771.0,53391.0
2014,169,ABB,Conglomerates,Switzerland,41814.0,2793.3,48436.0,59955.0
2015,201,ABB,Conglomerates,Switzerland,40071.0,2597.7,45193.0,50328.0
2016,225,ABB,Conglomerates,Switzerland,35529.0,1921.4,41596.0,48059.0
2017,236,ABB,Conglomerates,Switzerland,33836.0,1963.9,39688.0,49879.0
2018,264,ABB,Conglomerates,Switzerland,35037.0,2057.2,43570.0,51263.0
2019,282,ABB,Conglomerates,Switzerland,34293.0,2169.0,44441.0,44509.0
2020,298,ABB,Conglomerates,Switzerland,27972.0,1435.9,46108.0,40508.0
2021,226,ABB,Conglomerates,Switzerland,26043.0,5078.9,41088.0,67823.0
2022,274,ABB,Conglomerates,Switzerland,28934.0,4653.8,42271.0,61348.0
