Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value
2008,253,Resona Holdings,Banking,Japan,9480.0,5660,337650.0,18940.0
2009,179,Resona Holdings,Banking,Japan,10880.0,3030,397290.0,19310.0
2010,270,Resona Holdings,Banking,Japan,9830.0,1270,400470.0,14730.0
2011,358,Resona Holdings,Banking,Japan,9186.0,1414.9,433392.0,13273.0
2012,349,Resona Holdings,Banking,Japan,10301.0,1925.8,513030.0,12027.0
2013,335,Resona Holdings,Banking,Japan,9547.0,3064.2,522881.0,13593.0
2014,444,Resona Holdings,Banking,Japan,7925.0,2249.5,420295.0,10943.0
2015,503,Resona Holdings,Banking,Japan,7202.0,2250.6,383603.0,11731.0
2016,587,Resona Holdings,Banking,Japan,6081.0,1242.0,389021.0,9056.0
2017,512,Resona Holdings,Banking,Japan,6659.0,1688.9,410703.0,11669.0
2018,557,Resona Holdings,Banking,Japan,6169.0,2131.6,472438.0,13173.0
2019,634,Resona Holdings,Banking,Japan,6951.0,1581.0,537392.0,9658.0
2020,654,Resona Holdings,Banking,Japan,7551.0,1287.0,549516.0,7239.0
2021,642,Resona Holdings,Banking,Japan,7448.0,1342.5,682504.0,9527.0
2022,730,Resona Holdings,Banking,Japan,7463.0,1400.4,662219.0,10543.0
