Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value
2008,1929,Cintas,Business Services & Supplies,United States,3820.0,330,3700.0,4420.0
2009,1570,Cintas,Business Services & Supplies,United States,3970.0,320,3770.0,3100.0
2015,1729,Cintas,Business Services & Supplies,United States,4492.0,428.7,4353.0,9360.0
2016,1518,Cintas,Business Services & Supplies,United States,4777.0,435.2,4231.0,9598.0
2017,1321,Cintas,Business Services & Supplies,United States,5144.0,501.3,4271.0,12892.0
2018,1143,Cintas,Business Services & Supplies,United States,6337.0,659.9,6929.0,19627.0
2019,1047,Cintas,Business Services & Supplies,United States,6768.0,834.0,7434.0,22345.0
2020,952,Cintas,Business Services & Supplies,United States,7259.0,950.3,7902.0,23081.0
2021,875,Cintas,Business Services & Supplies,United States,6900.0,980.5,8347.0,36823.0
2022,976,Cintas,Business Services & Supplies,United States,7615.0,1202.5,8169.0,41748.0
